basename,sha256,displayed_source_identity,source_status,availability,redistribution_status
Arithmetic_Recursive_Folds_J_Tree_2026.pdf,3145672f43fe233b5c744734ef7e49e12bda49b2aee326d88205f849748c6373,J. Tree,unpublished internal source,not included,not established
BSC_Second_Catalogue_Synthesis_I_On_the_Living_Future_2027_3033.pdf,4151a2762ef982b6cc6b3eeae31900f6519c2bc9746adfa0b530fa5b988efb3e,J. Tree,unpublished internal source,not included,not established
BSC_Volume_VII_The_Seventh_Boundary_2027_2059.pdf,64cee6a805a37013a6cbed1ad936e4b6a5dcf909aca275fc0977aa30bae2d87d,Open Boundary-State Research Program,unpublished internal source,not included,not established
Boundary_State_Field_Calculus_Volume_III_Forward_Mathematics.pdf,acc66a1897453bfe8b332c24a91dde9b10a4f5d99d2d4ca9aa53a65b345b97fe,Boundary-State Calculus,unpublished internal source,not included,not established
Boundary_State_Field_Calculus_Volume_II_Mathematical_Completion_Modules.pdf,eeccf0609b01534a56244cafa32a5297878b841617e430e0bd02b2f8171a8d72,Boundary-State Calculus,unpublished internal source,not included,not established
Boundary_State_Field_Calculus_Volume_IV_Optical_Computational_Field_Theory.pdf,1e00d3ce6678bb94305bf3220eaf71f44d030a6385d02e2c8681687ef1057ae1,Open Research Program,unpublished internal source,not included,not established
Boundary_State_Field_Calculus_Volume_I_Compiled_Thesis.pdf,16cb68a6f269aa13e5ca04c03ce47f1d34bcdae7f104a414f86291fe34b06bed,Boundary-State Research Program,unpublished internal source,not included,not established
Boundary_State_Field_Calculus_Volume_VI_Reality_Surplus_Human_Centered_Grounded_Understanding.pdf,74cb562d1076295c87c88415481a2ed8874710f7908d11bd365c27f1209ae7c5,Open Research Program,unpublished internal source,not included,not established
Boundary_State_Field_Calculus_Volume_V_Human_Grounding_and_Scaffold_Ecology.pdf,d41741b5227f7364089f9a149c65d83e3a4872bbf1c8a0bcefc2b873fbf31480,Open Research Program,unpublished internal source,not included,not established
Certified_Arithmetic_Trace_Reconstruction.pdf,b8440316c30ac091017cec3fe29a4f38ee548b7e1b39b2cef2e11e5a482bfa9e,J. Tree,unpublished internal source,not included,not established
Derived_Witnessed_Descent_and_Atomic_Spectral_Complexity.md,a2bc92f94d3b53eecc379432c0eab9d7992797078ed1fb408b37ed3768795300,J. Tree research program,unpublished internal source,not included,not established
Formal_Verification_and_Prime_Block_Obstruction.md,ba27ed31bc3c5c2f45a559acd2bbaaacfaf1968e61a63750943dfc1899953211,Unattributed,unpublished internal source,not included,not established
ASTRA_Dual_Rent_Local_to_Global_Audit_Form_v0.3.0.pdf,62ee91f1d855fba12781e44aed8a5958b159508459bce53e5dc9eaefe48936ef,ASTRA v0.3.0 package,unpublished working package v0.3.0,supplied for audit; not included,not exercised
ASTRA_v0.3.0_Public_Ground_Reading.pdf,cc722b73741049440caaf307d0fbeee7b543755c53f8114a114b7adcef0e7c28,ASTRA v0.3.0 package,unpublished working package v0.3.0,supplied for audit; not included,not exercised
ASTRA_v0.3.0_Verification_Report.pdf,a7c0f9b9b979ec6bc5aeb685aa3165a5d1c89a60f712573a5a1871cf2831b35e,ASTRA v0.3.0 package,source-asserted verification report,supplied for audit; not included,not exercised
ASTRA_Framework_v0.3.0_Dual_Rent_Arithmetic_Seams.zip,2f8c26c92826c0464ae88048d9c3e68a4404ee5d9b8f46a660a0733ccddd75ab,ASTRA v0.3.0 package,unpublished working package v0.3.0,supplied for audit; not included,not exercised
ASTRA_Framework_v0.3.0_Dual_Rent_Arithmetic_Seams.zip.sha256,9a6cd6158024df295000da160af73451676313602700e9aac9749a0adb13d9a4,ASTRA v0.3.0 package,source-supplied identity sidecar,supplied for audit; not included,not exercised
ASTRA_Framework_v0.3.0_Dual_Rent_Arithmetic_Seams.zip.verify.txt,14d9452b3f092a8497e61cafa4ce24fedbf4afdd41e59692150babafa8979594,ASTRA v0.3.0 package,source-asserted verification note,supplied for audit; not included,not exercised
